full_word,abbreviation
Inservice,INSRVC
Inside,INSIDE
Inspect,INSPCT
Install,INSTL
Installation,INSTLN
installations,instls
Installed,INSTL
Installer,INSTLR
installment,instl
Instance,INSTNC
Instep,INSTEP
Institute,INSTIT
Institution,INSTIT
Instnc,INST
Instruct,INSTR
Instruction,INSTR
Instrument,INSTRMT
Insufficient,INSUF
Insufficient Funds,NSF
Insulate,INSUL
Insurance,INSUR
Insure,INSUR
Intangible,INTNGBL
Integer,INTGR
Integrate,INTGRT
Integrated,INTGRT
Integrated Services Digital Network,ISDN
Integration,INTGRTN
Integrity,INTGTY
Intelligence,INTEL
Intelligent,INTEL
Inter Provincial,INTERPROV
interaction,intr
Interactive,INTRACTV
Intercept,INTRCPT
Interchange,INTRCHNG
Intercompany,INTERCO
Interconnection,INTRCONN
Interest,INT
Interexchange,IX
Interexchange Carrier,IXC
Interface,INTRFC
Interim,INTERIM
Intermediate,INTRMED
Internal,INTRNL
International,INTL
International Carrier,ICARR
International Direct Dial,IDDD
Internet,INTERNET
Internet Protocol,IP
Internet Service Provider,ISP
Interpolate,INTRPLT
Interpret,INTPR
Interprovincial,INTERPROV
Interrogate,INTRRGT
Interrupt,INTRUP
Intersect,INTRSCT
Intersection,INTRSCTN
Interval,INTVL
Interview,INTVW
Intracompany,INTRACO
intractn,intr
Intranet,INTRANET
Intraoffice,INTRAOFFC
Invalid,INVLD
Invention,INVENT
Inventory,INVNTRY
Invert,INVRT
Invest,INVST
Investigate,INVSTGT
Investigation,INVSTGN
Investing,INVSTG
Investment,INVSTMT
Invoice,INVC
Invoke,INVOKE
Involve,INVLV
Involved,INVLVD
Involvement,INVLV
Inward,INWRD
IP,IP
Irregular,IRREG
ISDN,ISDN
ISDN Basic Rate Interface,BRI
ISDN Megalink,PRI
ISDN Microlink,BRI
ISDN Primary Rate Interface,PRI
Island,ISLND
Isolate,ISOLT
Issuance,ISS
Issue,ISS
Issued,ISS
Issues,ISS
Issuing,ISS
Item,ITM
Jack,JACK
Jacket,JKT
January,JAN
Java,JAVA
Jeopardy,JPRDY
Jitter,JTTR
Job,JOB
Joint,JNT
Journal,JRNL
Journalization,JRNL
Journalized,JRNL
Julian,JULIAN
July,JUL
Jump,JMP
Jumper,JMPR
June,JUN
Junior,JR
Junk,JUNK
Justification,JSTFY
Justify,JSTFY
Keep,KEEP
Key,KEY
Keyed,KEY
Keypunch,KYPNCH
Keyword,KYWRD
Keywords,KYWRD
Kilobyte,KB
Kilometre,KM
Kind,KIND
Know,KNOW
Knowledge,KNWLDG
Label,LBL
Labor,LBR
Labour,LBR
Lading,LADG
LAN,LAN
Land,LAND
Language,LANG
Large,LRG
Last,LAST
Late,LATE
Late Payment Charge,LPC
Latency,LTCY
Latest,LATEST
Latitude,LAT
Law,LAW
Lawyer,LWYR
Lay,LAY
Layout,LAYOUT
Lead,LEAD
Leadtime,LEADTM
Leap,LEAP
Lease,LEAS
Least Cost Routing,LCR
Leave,LV
Lecture,LECTURE
Ledger,LEDG
Left,LFT
Leg,LEG
Legal,LGL
Legislate,LGSLT
Legislation,LGSLTN
Legislative,LGSLTV
Length,LEN
Less,LESS
Less Than,LT
Let,LET
Letter,LTR
Level,LVL
Levelling,LVL
Liability,LIAB
Liable,LIAB
Library,LBRY
Licence,LIC
License,LIC
Lieu,LIEU
Life,LIFE
Lifecycle,LIFECYCL
Lifetime,LIFETM
Lift,LIFT
Light,LGHT
Like,LIKE
Limit,LIM
Limited,LTD
Limiter,LIMR
Line,LN
Link,LINK
List,LIST
Listing,LISTG
Literal,LITRL
Live,LIV
Living,LIV
Load,LOAD
Loaded,LOADD
Loader,LOADR
Loading,LOAD
Loadlib,LOADLIB
Loan,LOAN
Local,LCL
Local Access Transport Area,LATA
Local Area Network,LAN
Local Exchange Carrier,LEC
Local Service Provider,LSP
Local Service Provider Identifier,LSPID
Localize,LCLZ
Locate,LOC
Location,LOCN
Locator,LOCR
Lock,LOCK
Log,LOG
Logarithm,LOG
Logged,LOG
Logic,LOGIC
Logical,LOGIC
Logoff,LOGOFF
Logon,LOGON
Long,LONG
Long Distance,LD
Longitude,LONG
Look,LOOK
Lookup,LKUP
Loop,LOOP
Lose,LOSE
Loss,LOSS
Lost,LOST
Lot,LOT
Loud,LOUD
Low,LOW
Lower,LWR
Lowest,LWST
Lowest Service Office,LSO
Lump,LUMP
Lunch,LUNCH
Machine,MACH
Made,MADE
Magazine,MAGZN
Magnet,MAG
Magnetic,MAG
Magnify,MGNFY
Mail,MAIL
Mailbox,MAILBX
Mailing,MAILG
Main,MAIN
Mainframe,MF
Mainline,MAINLN
Maintain,MAINT
Maintenance,MAINT
Major,MAJ
Make,MAKE
Maker,MAKER
Male,MALE
Man,MAN
Manage,MGE
Management,MGMT
Manager,MGR
Mandatory,MAND
Manday,PERSDY
Manipulate,MANIP
Manitoba,MB
Manpower,MANPWR
Manual,MANL
Manufacture,MFR
Manufacturer,MFR
Manufacturing,MFG
Map,MAP
Mapping,MAPG
March,MAR
Margin,MARG
Marine,MARINE
Marital,MARITAL
Maritime,MARITM
Mark,MRK
Marker,MRKR
Market,MKT
Marketing,MKTG
Marking,MRKG
Mask,MSK
Mass,MASS
Master,MSTR
Mastered,MSTRD
Masterfile,MSTRFL
Mastering,MSTRG
Mastermind,MSTRMND
Mat,MAT
Match,MTCH
Matched,MTCH
Material,MATL
Material Item Code,MIC_CD
Materialize,MATLZ
Materiel,MATL
Matrix,MTX
Maximize,MAX
Maximum,MAX
May,MAY
Meal,MEAL
Mean,MEAN
Measure,MEAS
Measured,MEAS
Measurement,MSMT
Mechanic,MECH
Mechanical,MECH
Mechanize,MECH
Mechanized,MECH
Media,MEDIA
Mediation,MEDTN
Medical,MEDIC
Medium,MED
Meeting,MTG
Megaroute,MEGARTE
Member,MBR
Membership,MBR
Memo,MEMO
Memorandum,MEMO
Memory,MEM
Memory Pool,MPOOL
Menu,MENU
Merge,MERG
Meridian,MERID
Merit,MERIT
Message,MSG
Met,MET
Metadata,MDATA
Meter,MTR
Method,MTHD
Methodology,MTHDLGY
Metre,MTR
Metric,METR
Metrics,Metr
Metro,METRO
Metropolitan,METRO
Mexico,MEX
mgrt,mig
Micro,MICRO
Microfiche,MFICHE
Microwave,MWAVE
Midday,MIDDAY
Middle,MID
Middleware,MW
Midnight,MIDNITE
Midway,MIDWY
Migrate,MGRT
migration,mig
Mile,MILE
Mileage,MILEAGE
Milestone,MILESTONE
Military,MIL
Mill,MILL
Millimetre,MM
Million,MLLN
Millisecond,MLSEC
Mini,MINI
Minimize,MIN
Minimum,MIN
Ministry,MNSTRY
Minor,MINOR
Minority,MNRTY
Minus,MINUS
Minute,MIN
Minutes,MIN
Miscellaneous,MISC
Misdirect,MISDIR
Mismatch,MISMTCH
Misroute,MISRTE
Miss,MISS
Missed,MISS
Missing,MISS
Mnemonic,MNEM
Mobile,MBL
Mod,MOD
Mode,MODE
Model,MODL
Modem,MODEM
Modification,MOD
Modifier,MODR
Modify,MOD
Modular,MODULR
Module,MODULE
Monday,MON
Monetary,MONEY
Money,MONEY
Monitor,MNTR
Monitoring,MNTRG
Month,MTH
Month to Date,MTD
Monthly,MTHLY
Monthly Recurring Charge,MRC
More,MORE
Most Recent View,MRV
Motel,MOTEL
Motor,MOTOR
Motor Vehicle,MV
Motorize,MOTOR
Mount,MT
Mountain,MTN
Mounting,MT
Move,MOVE
Moved,MOVED
Movement,MOVEMT
Multi,MULTI
Multiple,MULT
Multiplex,MUX
Multiplexor,MUX
Multiplier,MULTR
Multiply,MULTY
Multipoint,MULTIPT
Municipal,MUNIC
Municipality,MUNIC
Name,NM
Narrate,NARRATE
Narrative,NARRATV
Nation,NAT
National,NATL
Natural,NATRL
Nature,NATUR
Near,NEAR
Nearest,NEAREST
Need,NEED
Negative,NEG
Negotiate,NEGOT
Negotiation,NEGOTN
Negotiator,NEGOTR
Neighbour,NGHBR
Nerve,NERVE
Nested,NST
Net,NET
Net Billed Revenue,NB_REV
Net New Revenue,NN_REV
netcracker,nc
Network,NTWK
Network Interface,NIC
New,NEW
New Brunswick,NB
Newfoundland,NFLD
Next,NXT
NIC,NIC
Nickel,NCKL
Night,NITE
Nil,NIL
Nnx,NXX
No,NO
No Charge,NC
No Plan Area,NPA
No Postal Code,NPC
Node,NODE
Noise,NOISE
Nomination,NMNT
Non,NON
Non Contract Sale,NCSALE
Non Recurring Charge,NRC
Non Sufficient Funds,NSF
Non-Recurring Charge,NRC
Non-Sufficient Funds,NSF
None,NONE
Nonsettled,NSTTLD
Noon,NOON
Normal,NORM
Normalize,NORMZ
North,N
North America,NA
North American,NA
Northbound,NBND
Northeast,NE
Northern,NRTHRN
Northwest,NW
Notation,NOTAT
Notations,NOTAT
Note,NOTE
Notepad,NOTEPAD
Notice,NOTIC
Notification,NOTIF
Notifier,NOTIF
Notify,NOTIF
Nova Scotia,NS
November,NOV
Null,NULL
Nullable,NULL
Number,NUM
Number Plan Area,NPA
Numbering,NUM
Numbering Plan Area,NPA
Numbering Pln Area,NPA
Numbers,NUM
Numerator,NUMER
Numeric,NUMER
Nxx,NXX
Object,OBJ
Objective,OBJV
Observe,OBSRV
Observed,OBSRV
Obsolete,OBS
Obtain,OBTN
Occasion,OCCAS
Occasional,OCCAS
Occupancy,OCCUP
Occupant,OCCUP
Occupation,OCCPTN
Occupational,OCCPTNL
Occupy,OCCUP
Occur,OCCUR
Occurrence,OCCUR
Octet,BYTE
October,OCT
Odd,ODD
Odometer,ODMTR
Off,OFF
Offer,OFFR
Offered,OFFRD
Offering,offr
Office,OFFC
Officer,OFFCR
Official,OFFCL
Offline,OFFLN
Offset,OFFSET
Oid,OID
Oil,OIL
Oldest,OLDST
Omission,OMIT
Omit,OMIT
On-Line,ONLINE
One,ONE
Onhand,ONHND
Online,ONLINE
Online Dial up,OLDU
Only,ONLY
Ontario,ONT
Open,OPEN
Opening,OPEN
Operand,OPERAND
Operate,OPR
Operating,OPRG
Operating Company Number,OCN
Operation,OPRN
Operational,OPRNL
Operational Measurement,OM
Operator,OPR
Operator Number Id,ONI
Operator Number Identification,ONI
Operator Number Identificatn,ONI
Opinion,OPIN
Opportunity,OPP
Optic,OPTC
Optical,OPTCL
Optimal,OPTML
Optimize,OPTMZ
Optimum,OPTM
Option,OPTN
Optional,OPTNL
Order,ORD
orders,ord
Ordered,ORDRD
Ordering,ORD
Ordinary,ORDNRY
Organization,ORG
Organizational,ORG
Organize,ORG
Origin,ORIG
Original,ORIG
Originate,ORIG
Originated,ORIG
Originating,ORIG
Origination,ORIG
Originator,ORIGR
Orphan,ORPH
Other,OTH
Other Credit and Charges,OCC
Other Credits and Charges,OCC
Out,OUT
Outage,OUTG
outbnd,ob
outbound,ob
Outcollect,OUTCOLL
Outcome,OUTCOME
Outdated,OUTDT
Outdialer,OUTDIAL
Outdoor,OUTDOOR
Outlet,OUTLT
Output,OP
Outright,OUTRT
Outside,OUTSIDE
Outside Plant,OP
Outstanding,OUTSTG
Outstep,OUTSTEP
Outward,OUTWRD
Over,OVR
Overall,OVRLL
Overbalance,OVBAL
Overdue,OVDUE
Overflow,OVFL
Overhead,OVHD
Overlap,OVLAP
Overlay,OVLAY
Overload,OVLD
Overloaded,OVLD
Override,OVRD
Overseas,OVS
Overstock,OVSTOCK
Overtime,OVT
Owe,OWE
Owed,OWD
Owing,OWG
Own,OWN
Owner,OWNR
Ownership,OWNRSHP
Pace,PACE
Pacific,PAC
Pack,PACK
Package,PKG
Packet,PKT
Pad,PAD
Page,PG
Pager,PGR
Paid,PD
Pair,PR
Paired,PR
Panel,PANEL
panorama,pano
Paper,PAPR
Paragraph,PARA
Parallel,PARAL
Parameter,PARM
Parametric,PARM
Parent,PARENT
Parentage,PARNTG
Parity,PARITY
Parm,PARM
Part,PART
Partial,PART
Participant,PARTCPNT
Participate,PARTCPT
Participation,PARTCPT
Partition,PARTN
Partner,PRTNR
Partner Contact,PC
Partner Gateway Request,PGWR
Partner Interaction,PI
Party,PARTY
Pass,PASS
passive,passv
Password,PSWRD
Past,PAST
Patent,PAT
Path,PATH
Patience,PATNC
Patient,PATNT
Pattern,PATRN
Pave,PAVE
Pay,PAY
Payable,PYBL
Payable Account,BAC
Payee,PAYEE
Payment,PYMT
Payment Gateway,PG
Payment Mediation Request,PMR
Payment Method,PYMT_MTHD
Payroll,PYRLL
Peak,PEAK
Peaked,PEAK
Peg,PEG
Pegcount,PEGCNT
Penalty,PNLTY
Pending,PEND
Penny,PENNY
Pension,PNSN
Pensionable,PNSNBL
Pensioner,PNSNR
Percent,PCT
Percentage,PCT
Perform,PERF
Performance,PERF
Period,PRD
Periodic,PRDC
Periodical,PRDCL
Permanency,PERM
Permanent,PERM
Permissible,PERMIS
Permission,PERMIS
Permit,PERMIT
Permitted,PERMIT
Perpetual,PERPTL
Persist,PRSST
Persistence,PRSST
Persistent,PRSST
Person,PERS
Person Day,PERSDY
Personal,PERS
Personalized,PERSLZD
Personnel,PRSNNL
Personnel Number,PERNO
Phantom,PHNTM
Phase,PHS
Phone,PH
Phrase,PHRS
Physical,PHYS
Pick,PICK
Picking,PICK
Picture,PICT
Pilot,PILOT
Pilot account,PAC
Pin,PIN
Pioneer,PION
Pitch,PITCH
Place,PLACE
Placement,PLCMT
Plain Old Telephone Service,POTS
Plan,PLAN
Plane,PLANE
Planned,PLAND
Planner,PLANR
Planning,PLANG
Plant,PLANT
Plant Ready Date,PR_DT
Platform,PLTFRM
Play,PLAY
playback,plb
Plot,PLOT
Plug,PLUG
Plugin,PLUGIN
Plunge,PLUNGE
Plunger,PLUNGR
Plus,PLUS
Point,PT
Point to Point,PTP
Point-to-Point,PTP
Pointer,PTR
Pole,POLE
Police,POLICE
Policy,PLCY
Poll,POLL
Polled,POLLD
Polling,POLLG
Pool,POOL
Poor,POOR
Populate,POPLT
Population,POPLN
Port,PORT
Portability,PRTBLTY
Portable,PRTBL
Portfolio,PFOLIO
Portion,PORTION
Position,POSN
Positioning,POSN
Positive,POS
Possible,POSS
Post,POST
Post Office,PO
Postage,PSTGE
Postal,PSTL
Postdate,POSTDT
Posting,POSTG
Potential,POTEN
Pound,LB
Power,PWR
Practice,PRAC
Practise,PRAC
Preauthorize,PREAUTH
Preauthorized,PREAUTH
Preauthorized Payment,PAP
Precede,PREC
Precedence,PREC
Precision,PRECIS
Predict,PREDICT
Prediction,PREDCTN
Prefer,PREF
Preference,PREF
Preferred,PREF
Prefix,PFX
Preliminary,PRELIM
Premise,PREMIS
Premises,PREMIS
Premium,PREM
Prepare,PREP
Prepared,PREP
Prepayment,PREPYMT
Prerequisite,PREREQ
Presence,PRES
Present,PRES
Presentation,PRES
President,PRES
Press,PRESS
Pressure,PRESSURE
Prevent,PRVNT
Preventative,PRVNTV
Preventive,PRVNTV
Preview,PRVW
Previous,PREV
Previous Year,PYR
Previously,PREV
Price,PRC
Pricing,PRCG
Primary,PRIM
Primary Interexchange Carrier,PIC
Primary Key,PK
Prime,PRIME
Primeship,PRMSHP
Primitive,PRIMTV
Principal,PRINC
Principle,PRINC
Print,PRNT
Printed,PRNT
Printer,PRNTR
Printout,PRNTOUT
Prior,PRIOR
Priority,PRIO
Private,PRIV
Privilege,PRVLG
Proactive,Proactv
Probability,PROB
Probable,PROB
Probe,PROBE
Problem,PROB
Procedure,PROC
Proceed,PROC
Process,PROC
processing,proc
Processor,PROC
Proclib,PROCLIB
Procure,PROCUR
Procurement,PROCUR
prod,PR
Produce,PRODUCE
Producer,PRODUCR
Product,PROD
Production,PROD
Productive,PROD
Productivity,PROD
Profession,PROF
Professional,PROF
Profile,PROFL
Profiling,PROFL
Profit,PROFIT
Profitability,PROFTBY
Program,PGM
Progress,PROG
Progression,PROG
Prohibit,PRHBT
Project,PROJ
Projected,PROJD
Projection,PROJN
Promise,PROM
Promote,PROMO
Promotion,PROMO
Prompt,PROMPT
Proof,PROOF
Proofread,PROOFRD
Proper,PROPER
Property,PRPTY
Proportion,PROPN
Proposal,PROPOS
Propose,PROPOS
Proposed,PROPOS
Proprietary,PPY
Proprietor,PPR
Prorate,PRORATE
Prorated,PRORATD
Prorating,PRORATG
prosp,psp
prospect,psp
prospective,psp
Protect,PROT
Protected,PROT
Protection,PROT
Protocol,PROTCL
Prototype,PROTYP
Provide,PRVID
Provided,PRVID
Provider,PRVIDR
Province,PROV
Provincial,PROV
Provincial Sales Tax,PST
Provision,PROVSN
Provisional,PROVSN
Provisioner,PROVSN
Provisioning,PROVSN
Proxy,PRXY
Pseudo,PSEUDO
Public,PUB
Publication,PUB
Publish,PUB
Published,PUB
Publishing,PUB
pubsub,ps
Pull,PULL
Pullout,PULLOUT
Pulse,PULSE
Pulser,PULSR
Pulsing,PULSG
Punch,PNCH
Punched,PNCH
Purchase,PURCH
Purchase Order,PO
Purge,PURGE
Purified,PURFD
Purify,PURFY
Purpose,PURPS
Push,PUSH
Pushbutton,PB
Put,PUT
Quadrant,QUAD
Qualified,QLFD
Qualifier,QLFR
Qualify,QLFY
Quality,QUAL
Quality of Service,QOS
Quantity,QTY
Quantity of work,QOW
Quart,QT
Quarter,QTR
Quarter to date,QTD
Quarterly,QTRLY
Quebec,PQ
Query,QRY
Question,QSTN
Queue,QUEUE
Queued,QUEUE
Quick,QIK
Quota,QTA
Quotation,QUOT
Quote,QUOT
Rack,RACK
Radio,RAD
Raise,RAISE
Random,RNDM
Randomize,RNDMZ
Range,RGE
Rank,RANK
Ranking,RANK
Rapid,RAPID
Rate,RT
Rate Center,RC
Rate Centre,RC
Rate Group System,RGS
Rate Plan,RTPLN
Rated,RTD
Rating,RATG
Ratio,RATIO
Rational,RATNL
Rationale,RATNLE
Raw,RAW
Ray,RAY
RCID,RCID
Read,READ
Reading,READG
Ready,RDY
Real,REAL
Real-Time Transport Protocol,RTP
Realm,REALM
Rearrange,REARR
Reason,RSN
Reassemble,REASSEM
Reassign,REASGN
Reassociate,REASSOC
Rebalance,REBAL
Rebate,REBATE
Rebill,REBILL
Recalculate,RECALC
Recall,RECALL
Recap,RECAP
Receipt,RCPT
Receivable,RCVBL
Receive,RCV
Received,RCVD
Receiving,RCVG
Recent,RCNT
Receptacle,RCPTCL
Reciept,RCPT
Recipient,RECIP
Reciprocal,RECIPR
Reciprocate,RECIPR
Reciprocating,RECIPR
Recirculate,RECIRC
Reclassify,RCLSFY
Recode,RECODE
Recognition,RECOG
Recognize,RECOGZ
Recommend,RECM
Recommendation,RECM
Reconcile,RCNCL
Reconciliation,RCNCLN
Reconfiguration,RCONFIG
Reconfigure,RCONFIG
Reconnect,RECONN
Record,REC
Recorded,REC
Recorder,REC
Recording,REC
Recover,RCVR
Recovery,RCVRY
Recreate,RCREATE
Recreation,RCREATN
Recur,RECUR
Recurring,RECUR
Redate,REDATE
Redating,REDATG
Redeem,REDEEM
Redemption,REDEMP
Redeposit,RDEP
Redesign,RDSGN
Redistribute,RDISTRIB
Reduce,REDUC
Reduction,REDUCN
Reel,REEL
Reenter,REENTER
Reentry,REENTRY
Refer,REFER
Reference,REF
Referral,REFER
Refill,REFILL
Reform,REFORM
Reformat,RFMT
Reformatted,RFMTD
Reformatter,RFMTR
Reformatting,RFMTG
Refresh,RFRSH
Refund,RFND
Refuse,REFUSE
Regenerated,REGEN
Region,RGN
Region Accounting Office,RAO
Regional,RGNL
Regional Accounting Office,RAO
Regional Customer Id,RCID
Register,RGSTR
Registered,RGSTRD
Registering,RGSTRG
Registers,RGSTR
Registrant,RGSTRNT
Registrar,RGSTRR
Registration,RGSTRN
Regrade,RGRD
Regress,RGRESS
Regression,RGRESN
Regular,REG
Regulate,REG
Regulated,REG
Regulating,REG
Regulation,REG
Regulator,REG
Rehabilitate,REHAB
Rehabilitation,REHAB
Reimburse,REIMBUR
Reimbursement,REIMBUR
Reinstall,REINSTL
Reinstalled,REINSTL
Reinstate,REINSTAT
Reinvest,REINVST
Reinvestment,REINVST
Reject,REJ
Rejected,REJ
Rejection,REJ
Relate,REL
Related,REL
Relation,RELN
Relationship,RELN
Relative,REL
Relay,RELAY
Release,RLSE
Released,RLSD
Releasing,RLSG
Reliability,RLBLTY
Reliable,RLIAB
Relief,RELIEF
Reload,RLOAD
Relocate,RELOC
Rely,RELY
Remain,REMN
Remainder,RMDR
Remark,RMK
Remarks,RMK
Remediation,RMEDTN
Remind,RMND
Remit,REMIT
Remote,RMT
Remote Call Forwarding,RCF
Removal,RMVL
Remove,RMV
Removed,RMVD
Rename,RNM
Render,RENDER
Renegotiate,RNEGOT
Renew,RNEW
Rent,RENT
Rental,RENTL
Reopen,REOPEN
Reorder,REORD
Reorganization,REORG
Reorganize,REORG
Repair,RPR
Repairable,RPRBL
Repairman,RPRMN
Repeat,REPEAT
Repeater,RPTR
Replace,RPLC
Replacement,RPLCMT
Reply,RPLY
Repoll,REPOLL
Report,RPT
Reportable,RPTBL
Reported,RPTD
Reporting,RPTG
Reposition,REPOSN
Represent,REP
Representative,REP
Reprint,RPRNT
Reprocess,REPROC
Request,RQST
Request for Information,RFI
Request for Proposal,RFP
Request for Quote,RFQ
Requested,RQST
Requesting,RQST
Require,REQ
Required,REQ
Requirement,RQMT
Requisite,REQ
Requisition,RQSN
Rerate,RERATE
Reroute,RRTE
Rerouted,RRTD
Rerun,RERUN
Reschedule,RESCHED
Research,RSRCH
Resend,RSND
Resent,RSNT
Reservation,RSRVN
Reserve,RSRV
Reserved,RSRVD
Reset,RSET
Reship,RESHIP
Reshipment,RSHPMT
Reside,RESIDE
Residence,RES
Resident,RES
Residential,RES
Residual,RESID
Resign,RSGN
Resist,RESIST
Resistance,RESIST
Resolution,RSOLN
Resolve,RSLV
Resort,RESORT
Resource,RESRC
Respond,RSPND
Response,RSPNS
Responsibility,RESP
Responsible,RESP
Rest,REST
Restart,RSTART
Restoral,RSTORL
Restore,RSTORE
Restored,RSTORE
Restrict,RESTRIC
Restricted,RESTRIC
Restriction,RESTRIC
Result,RSLT
Results,RSLT
Resume,RSM
Retail,RETAIL
Retain,RETAIN
Retention,RETEN
Retire,RETIR
Retirement,RTRMT
Retransmit,RXMIT
Retrieval,RTRVL
Retrieve,RTRV
Retriever,RTRVR
Retroactive,RETRO
Retry,RETRY
Return,RTN
Returned,RTND
Reusable,REUSBL
Revalidate,REVALID
Revenue,REV
Revenue Accounting Office,RAO
Reversal,RVRSL
Reverse,RVRS
Revert,REVERT
Reverting,REVERT
Review,REVW
Revise,RVISE
Revised,RVISD
Revision,RVISN
reward,rwd
Rework,RWRK
Rewrite,RWRT
Ride,RIDE
Right,RGHT
Ring,RING
Ringing,RINGG
Road,RD
Roam,ROAM
Role,ROLE
Roll,ROLL
Rollout,RLOUT
Rollover,RLOVR
Rollup,RLUP
Room,RM
Root,ROOT
Rope,ROPE
Rotary,ROTARY
Round,RND
Rounded,RND
Rounding,RND
Route,RTE
Router,ROUTR
Routine,RTN
Routing,ROUTG
Row,ROW
Rule,RULE
Run,RUN
Rural,RUR
Sack,SACK
Safe,SAFE
Safety,SFTY
Salary,SAL
Sale,SALE
Sales,SLS
Sales Opportunity,SLSOPP
Sales Organization,SLSORG
Sales Rep,SLSREP
Sales Representative,SLSREP
Salesman,SLSREP
Salesperson,SLSREP
Saleswoman,SLSREP
Salutation,SALUT
Salvage,SLVG
Same,SAME
Sample,SAMP
Sampled,SAMP
Sampling,SAMP
Saskatchewan,SASK
Satellite,SATL
Saturday,SAT
Save,SAVE
Savings,SVGS
Scale,SCALE
Scan,SCAN
Scanner,SCANR
Scenario,SCENR
Schedule,SCHED
Scheduled,SCHED
Scheduler,SCHED
schedules,schs
Scheduling,SCHED
Schema,SCHEM
Schematic,SCHEM
Scheme,SCHEM
Science,SCI
Score,SCOR
Scratch,SCRTCH
Screen,SCRN
Screening,SCRNG
Script,SCRIPT
Scripted,SCRIPT
Scripting,SCRIPT
Sea,SEA
Search,SRCH
Searched,SRCH
Season,SEASN
Seasonal,SEASL
Second,SEC
Secondary,SECNDY
Secret,SECRET
Section,SECT
Sectional,SECTL
Sector,SECT
Secure,SECUR
Security,SECUR
See,SEE
Seed,SEED
Segment,SEG
Select,SEL
Selected,SEL
Selection,SELN
Selector,SEL
Sell,SELL
Semi,SEMI
Send,SND
Sender,SNDR
Sending,SNDG
Senior,SR
Sense,SENSE
Sensitive,SENSV
Sensor,SENSOR
Sent,SNT
Separate,SEP
Separation,SEP
September,SEP
Sequence,SEQ
Sequential,SEQ
Serial,SER
Serve,SRV
Service,SRVC
Service Address,SADDR
Service Level Agreement,SLA
Service Order,SO
Service Provider Identifier,SPID
Service Rep,CSR
Service Representative,CSR
Servicing,SRVCG
Serving,SRVG
Session,SESS
Set,SET
Settle,STTL
Settled,STTLD
Settlement,STTLMT
Settop Box,STB
Setup,SETUP
Severance,SEVRNC
Severe,SEVERE
Severence,SEVRNC
Severity,SEVRTY
Sex,SEX
Share,SHR
Shareholder,SHRHLDR
Sharing,SHR
Sheath,SHEATH
Sheet,SHEET
Shelf,SHELF
Shift,SHFT
Ship,SHP
Shipment,SHPMT
Shipping,SHP
Shop,SHOP
Short,SHORT
Shortage,SHRTG
Shutdown,SHUTDN
Sick,SICK
Side,SIDE
Sign,SIGN
Signal,SIGNL
Signal To Noise Ratio,SNR
Signal Transfer Point,STP
Signalling,SIGNL
signature,sig
Signed,SIGN
Significant,SIGNIF
Signify,SIGNIF
Signing,SIGN
Similar,SIM
Simulate,SIMUL
Since,SINCE
Single,SGL
Site,SITE
Situation,SITN
Size,SZ
Sizing,SZG
Skeleton,SKEL
Skill,SKIL
Skip,SKIP
Slip,SLIP
Slot,SLOT
Slow,SLOW
Slug,SLUG
Small,SM
Snapshot,SNP
snpsht,SNP
Social,SOCL
Social Insurance Number,SIN
Society,SOCTY
Socket,SOCKET
Soft,SFT
Software,SW
Sold,SOLD
Sole,SOLE
Solution,SOLN
solvatio,solv
Solve,SOLV
Sorry,SORRY
Sort,SORT
Sorted,SORTD
Sound,SOUND
Source,SRC
South,S
Southbound,SBND
Southern,STHRN
Space,SPAC
Span,SPAN
Spare,SPARE
Sparse,SPARSE
Speak,SPK
Special,SPCL
Specific,SPEC
Specification,SPEC
Specifications,SPECS
Specified,SPECD
Specify,SPEC
Speed,SPD
Speedtest,SPDTST
Speedtests,SPDTST
Spend,SPND
Spent,SPENT
Spinoff,SPINOFF
Splice,SPLC
Split,SPLIT
Sponsor,SPONR
Spool,SPOOL
Spot,SPOT
Spread,SPRD
Square,SQ
Stability,STBLTY
Stable,STBL
Stack,STACK
Stacked,STACKD
Staff,STAFF
Staging,STG
Stale,STALE
Stamp,STMP
Stand,STND
Standalone,STNDLN
Standard,STD
Standardize,STDZ
Standards,STD
Standby,STNDBY
Star,STAR
Start,START
Starting,START
Startup,STARTUP
State,STATE
Statement,STMT
Static,STATIC
Station,STN
Statistic,STAT
Statistical,STAT
Statistics,STATS
Status,STAT
Steady,STEADY
Stentor,STENTOR
Step,STEP
Still,STILL
Stock,STOCK
Stocking,STOCKG
Stop,STOP
Stoppage,STOPG
Storage,STOR
Store,STOR
Stored,STOR
Storing,STOR
Straddle,STRAD
Straight,STRGHT
Strap,STRAP
Strategic,STRAT
Strategy,STRAT
Stratify,STRTFY
Stream,STM
Street,ST
Strength,STRNGTH
Strike,STRIKE
String,STR
Strip,STRIP
Strong,STRONG
Structural,STRUCTL
Structure,STRUCT
Structured,STRUCT
Stub,STUB
Student,STDNT
Study,STDY
Sub,SUB
Subaccount,SUBACCT
Subadvance,SUBADV
Subcode,SUBCD
Subcontract,SUBCNTRCT
Subdivide,SUBDIV
Subdivision,SUBDIV
Subfamily,SUBFMLY
Subgroup,SUBGRP
Subject,SUBJ
Subject Database,SDB
Submission,SUBMIS
Submit,SUBMIT
Submiting,SUBMIT
Subordinate,SUBORD
Subroutine,SUBRTN
subscr,sub
