Full Name,Name,Asset Id,Asset Type,[Business Term] has acronym [Acronym] > Name,[Business Term] has acronym [Acronym] > Full Name,[Business Term] has acronym [Acronym] > Asset Type,[Business Term] has acronym [Acronym] > Community,[Business Term] has acronym [Acronym] > Domain Type,[Business Term] has acronym [Acronym] > Domain,[Business Term] has acronym [Acronym] > Domain Id,[Business Term] has acronym [Acronym] > Asset Id,Definition,Status,Domain,Community,Domain Type,Domain Id
Back Office Support Request,BOSR,0197654b-0ba4-7959-b379-dc8da0f962fc,Business Term,,,,,,,,,A form to request support from the Back Office. Form is located at go/BOSR.,,,,,
Bénéfice par action,BPA,cd7a3c97-0760-4d6c-a004-c248179580a3,Business Term,,,,,,,,,Profit d’une entreprise divisé par le nombre d’actions ordinaires en circulation.,,,,,
Business Process Outsourcing,BPO,d4fdb553-fdbe-495d-aa86-132191768339,Business Term,,,,,,,,,Business Process Outsourcing in the context of Telecommunications refers to the practice of contracting third-party service providers to handle specific business processes and functions within the telecommunications industry.,,,,,
Binary Phase Shift Keying,BPSK,1307e44b-979b-457e-b035-bbb3c6aa7a9c,Business Term,,,,,,,,,"Binary Phase Shift Keying (BPSK) is a digital modulation technique used in telecommunications. It involves the modulation of a carrier signal by varying the phase of the signal. In BPSK, binary data is represented by two different phase states, typically 0° and 180°. This modulation scheme allows for the transmission of digital information over a communication channel.",,,,,
BigQuery,BQ,a5decaa3-7dae-4db2-a70b-0605269f2b0e,Business Term,,,,,,,,,"BigQuery is Google's fully managed, serverless data warehouse.",,,,,
Business Requirement,BR,019ecc05-5e70-70bc-84a1-ac06726962d5,Business Term,,,,,,,,,A documented statement of a business need or condition that a solution or project must satisfy.,,,,,
Bill Retrieval System ,BRS,3a7b4a2d-dca2-4a4a-9099-a54a14cdcd4b,Business Term,,,,,,,,,"Bill Retrieval System in the context of Customer Service refers to a system that allows customers to access and retrieve their bills or invoices electronically. It enables customers to easily view and obtain copies of their bills for tracking, reference, or reimbursement purposes.",,,,,
Base Station,BS,653194eb-6733-4fc9-80dd-c6355d7a4cc1,Business Term,,,,,,,,,"A transmission and reception station in a fixed location, consisting of one or more receive/transmit antenna, microwave dish, and electronic circuitry, used to handle cellular traffic. It serves as a bridge between all mobile users in a cell and connects mobile calls to the mobile switching center. Source: CRTC Telecommunications Glossary https://crtc.gc.ca/eng/dcs/glossaryt.htm",,,,,
Bucket Size Duration,BSD,3243adc7-01a0-4843-8619-025eb2cadc9e,Business Term,,,,,,,,,Bucket Size Duration is the specific time interval within a telecommunications system during which data is aggregated and measured.,,,,,
Base Station Identity Code,BSIC,9995af93-e0d4-4fc1-805c-3044e0f50d30,Business Term,,,,,,,,,Base Station Identity Code refers to a unique code assigned to each base station in a telecommunications network.,,,,,
Buffer Status Report,BSR,c09b4faa-f3dd-4106-8134-356ca598d030,Business Term,,,,,,,,,"Buffer Status Report refers to a report that provides information about the state or condition of a buffer in a telecommunications system. It gives an update on the status of the buffer, which is a temporary storage area used for storing and managing incoming data packets or messages. This report allows network operators or administrators to monitor the current occupancy level, utilization rate, and potential congestion issues within the buffer.",,,,,
Business Support Systems,BSS,fa21e6a7-9e4a-4bc0-bd15-90046f7a3da7,Business Term,,,,,,,,,"Telecom business support systems underpin commercial activities and handle customer-facing interactions within communications service providers' operations. It includes order capture &amp; management, customer relationship management, mediation, charging and billing, as well as call center automation.",,,,,
Business Service Support Center,BSSC,b3cc0f2c-4f3e-4ec4-9627-ad14577e654c,Business Term,,,,,,,,,Technical support team at TELLUS responsible for distributed infrastructure and applications.,,,,,
Business Transformation,BT,4d8e0595-2830-4f2d-ba56-330acac23b28,Business Term,,,,,,,,,"Former business unit name , now part of Technology Strategy and Business Transfromation ( TSBT )",,,,,
Below The Line,BTL,055aa578-04d3-42e3-b758-964b54e694c9,Business Term,,,,,,,,,Type of an offer available in retail channel,,,,,
Billing Telephone Number,BTN,df84ddcf-d200-4172-aea2-1789e42f9f91,Business Term,,,,,,,,,Ten digit telephone number under which customer’s telephone bill is issued.,,,,,
Banked Time Off,BTO,dc4f6cc0-d032-463a-8cd5-f76cd62a5a8e,Business Term,,,,,,,,,Banked Time Off refers to an allotment of unused vacation or paid time off that an employee has accumulated and saved for future use within an enterprise.,,,,,
Base Transceiver Station,BTS,67626893-a6f4-4301-a5c0-f2a7c552f8ed,Business Term,,,,,,,,,"Base Transceiver Station is a key component in telecommunications that serves as a wireless communication hub, enabling the transmission and reception of signals between mobile devices and the cellular network.",,,,,
Business Unit,BU,e179dd7f-6ca1-4fbc-839a-21ac48d6734d,Business Term,,,,,,,,,a group of team members responsible for application and/or data assets supporting their business processes and functions,,,,,
Business Voice Over Fiber,BVOF,16086cee-94c8-478b-a9d4-0937dd6bac80,Business Term,,,,,,,,,Business customers service.,,,,,
Business Voice over Internet Protocol,BVOIP,84c2fb08-3a0e-469a-88c3-6d6eb1d7ac82,Business Term,,,,,,,,,"Business Voice over Internet Protocol (VoIP) refers to a telecommunications technology that allows businesses to make and receive voice calls over the internet. It utilizes internet protocols to transmit voice signals digitally, rather than traditional analog phone lines. This technology enables businesses to centralize their communication systems, streamline operations, and potentially reduce costs associated with traditional phone services.",,,,,
BIB Via Trade-in,BVT,32f1d353-fbf3-4084-9b70-f50bfa0d871f,Business Term,,,,,,,,,"A "" Bring It Back "" device that was returned through the trade-in program and not through a traditional ""Bring It Back"" return.",,,,,
Bandwidth Part,BWP,158599b1-5bed-4bf8-ba6d-e11ddced115b,Business Term,,,,,,,,,"Bandwidth Part is a term used in telecommunications to refer to a specific portion of the overall available bandwidth that is allocated for a particular purpose. It allows for the efficient utilization of the available spectrum by dividing it into separate parts for different applications or services. However, no further information regarding examples or benefits can be provided.",,,,,
Bring Your Own Device,BYOD,921ab5e0-945f-448c-b460-c9465e761c88,Business Term,,,,,,,,,"Bring your own device also called bring your own technology, bring your own phone, and bring your own personal computer refers to being allowed to use personally owned device when acquiring the service plan.",,,,,
Bring Your Own Phone,BYOP,b1476467-bb87-437b-a175-7fc7fc6ab0a7,Business Term,,,,,,,,,"Bring your own device also called bring your own technology, bring your own phone, and bring your own personal computer refers to being allowed to use personally owned device when acquiring the service plan.",,,,,
Bring Your Own Personal Computer,BYOPC,5a5d9e06-237f-4fa1-a4de-e0832090d985,Business Term,,,,,,,,,"Bring your own device also called bring your own technology, bring your own phone, and bring your own personal computer refers to being allowed to use personally owned device when acquiring the service plans",,,,,
Bring Your Own Technology,BYOT,0d43ed78-fa0d-4961-b228-38b657b50e3b,Business Term,,,,,,,,,"Bring your own device also called bring your own technology, bring your own phone, and bring your own personal computer refers to being allowed to use personally owned device when acquiring the service plan",,,,,
Cooperative Intelligent Transportation Systems,C-ITS,0b490f21-e85c-45bb-8fd4-08e6f7c11b12,Business Term,,,,,,,,,"Cooperative Intelligent Transportation Systems in the context of telecommunications refers to a system that uses advanced technology to enable vehicles to communicate with each other and with the transportation infrastructure. This allows for real-time exchange of information, such as traffic conditions, road hazards, and vehicle positions, to enhance safety and improve traffic efficiency.",,,,,
Centralized Radio Access Network,C-RAN,c31430c3-dfc3-44ac-9e07-50e4d27dd9af,Business Term,,,,,,,,,"A Centralized Radio Access Network (C-RAN) is a network architecture that centralizes the baseband processing of multiple remote radio heads (RRHs) in a centralized location. In a traditional RAN architecture, the baseband processing is typically located at the base of each cell tower or site. However, in a C-RAN architecture, the baseband processing functions are moved to a centralized data center or hub. Key components of a C-RAN architecture include: Remote Radio Heads (RRHs) : These are the radio units located at the cell sites that connect to antennas and transmit/receive radio signals. Baseband Unit (BBU) : The centralized unit that processes the baseband signals from multiple RRHs. It performs functions such as modulation/demodulation, encoding/decoding, and signal processing. Fronthaul Network : The high-capacity network that connects the RRHs at the cell sites to the centralized BBU. Benefits of C-RAN include: Centralized Processing : Allows for more efficient resource allocation and coordination across multiple cells. Cost Savings : By centralizing baseband processing, operators can reduce the number of equipment at cell sites and lower operational costs. Flexibility and Scalability : Easier to scale the network and introduce new technologies by upgrading centralized processing units. Energy Efficiency : Centralized processing can lead to energy savings compared to distributed RAN architectures. C-RAN is seen as a key enabler for future mobile networks, especially in the context of 5G deployments, where centralized processing and coordination are essential for delivering high data rates, low latency, and supporting a massive number of connected devices.",,,,,
Cell Radio Network Temporary Identifier,C-RNTI,1573341a-2c1c-4bcc-8476-da72ae7f1bc5,Business Term,,,,,,,,,"Cell Radio Network Temporary Identifier (C-RNTI) is an identifier that is used in telecommunications to represent a temporary association between a user equipment (UE) and a base station within a cell radio network. It is a unique identification that allows the network to temporarily distinguish and manage the communication resources assigned to a specific UE within its coverage area. The C-RNTI is dynamically allocated by the base station during the UE's registration or channel assignment process, and it is essential for facilitating efficient and reliable communication between the UE and the base station.",,,,,
Copper to Fiber,C2F,3eba24cb-09fc-4199-8e15-080ec92beed1,Business Term,,,,,,,,,Customer services migration from copper to fiber.,,,,,
Copper to Wireless,C2W ,0197658d-236a-7450-b96c-8e11f506c323,Business Term,,,,,,,,,Migrations transferring copper voice-only customers to wireless services where fibre is not available.,,,,,
Communications-as-a-Service,CaaS,8a0aa268-b087-4406-a4ff-0529957046d3,Business Term,,,,,,,,,Communications-as-a-Service refers to a model in the field of telecommunications where communication services are delivered and managed remotely by a third-party provider.,,,,,
Change Advisory Board,CAB,5e3a1bde-e908-4055-9b71-647cef4d2c42,Business Term,,,,,,,,,"Change Advisory Board (CAB) in the context of Telecommunications refers to a governing body responsible for evaluating and approving changes to telecommunications systems and networks. They oversee the planning, prioritization, and implementation of changes to ensure minimal disruption to services and maintain the integrity of the telecommunications infrastructure.",,,,,
Compound Annual Growth Rate,CAGR,d35136d2-986e-474c-b671-457d6812a4a6,Business Term,,,,,,,,,"Compound Annual Growth Rate (CAGR) is a financial metric used in accounting to measure the average annual growth rate of an investment or business over a specific period of time. CAGR provides a standardized way to analyze and compare the performance of different investments or businesses by smoothing out the effects of short-term fluctuations. It is calculated by taking the geometric mean of the growth rates over the given period, thereby providing a single rate that reflects the equivalent annual growth rate.",,,,,
Customer Account Management,CAM,24d70d8f-a985-4db2-b6db-236cc549bed4,Business Term,,,,,,,,,"Customer Account Management in the context of Finance and Accounting refers to the process of overseeing and maintaining the financial interactions and relationships with customers. It involves the management of customer accounts, including monitoring account activity, addressing customer inquiries and concerns regarding their financial accounts, and ensuring accurate and timely recording of financial transactions related to customers.",,,,,
Customer Account Number,CAN,3b5ddd5b-55b8-4680-b078-ba7ecdfc9828,Business Term,,,,,,,,,Customer Account Number is a unique identifier assigned to an individual customer's account in the context of Customer Service.,,,,,
Capital Expenditures,CAPEX,494dbef2-77cf-4f19-9271-ed60f424d5f2,Business Term,,,,,,,,,"Capital expenditures refer to the financial investments made by a company to acquire or improve its long-term assets, such as property, plant, equipment, or technology. These expenditures are essential for the operation and growth of the enterprise, as they contribute to the infrastructure, capacity, and efficiency of the business.",,,,,
Contracted Annual Revenue,CAR,4de679f1-1a41-42c3-9e5c-fb404e2f3038,Business Term,,,,,,,,,Metric which recognizes the 12 month value of services sold by sales teams. Broken down by Wireline and Wireless sales.,,,,,
Conditional Access System,CAS,6427f83b-90ad-42b1-a69d-c8ad76c690e3,Business Term,,,,,,,,,"Is a systems used by content providers, such as pay-TV operators, to ensure only those subscriber devices which meet certain conditions can access the protected content.",,,,,
Canada’s Anti-Spam Legislation,CASL,3056e5ff-4471-48e6-899e-45fe8aad1a3e,Business Term,,,,,,,,,"Canada’s Anti-Spam Legislation (CASL) aims to protect the privacy and security of individuals by regulating commercial electronic messages (CEMs), the installation of computer programs, and unauthorized access to computer systems. By enforcing strict requirements for obtaining consent and providing clear identification information in CEMs, CASL works to reduce the impact of unwanted and potentially harmful electronic communications. It also prohibits the installation of computer programs without proper consent and addresses unauthorized activities such as phishing and malware attacks. CASL plays a crucial role in safeguarding privacy and enhancing security in the digital realm without providing any potential examples or expressing any opinion on its value.",,,,,
Category A,Cat A,018f2ffd-9803-7c13-89bb-9c4fe0885df3,Business Term,,,,,,,,,"In the context of media and entertainment, ""Category A"" refers to a classification system used in television broadcasting to categorize and regulate specialty channels in Canada. Category A channels are designated as specialty services that have guaranteed carriage on basic cable or satellite packages, providing them with a higher level of distribution and visibility compared to other categories. The Canadian Radio-television and Telecommunications Commission (CRTC), the regulatory body overseeing broadcasting in Canada, classifies television channels into different categories based on their programming content, format, and distribution requirements. Category A channels are considered to be more established and have specific regulatory obligations and benefits, including guaranteed distribution and protection from direct competition. Category A channels are subject to certain requirements, such as Canadian content quotas, financial contributions to Canadian programming, and restrictions on the types of programming they can air. These channels play a significant role in the Canadian broadcasting landscape, offering specialized content to viewers and contributing to the diversity of programming available on television. Overall, the Category A classification system helps to regulate and promote the development of specialty channels in Canada, ensuring that viewers have access to a variety of programming options while supporting the production and distribution of Canadian content in the media and entertainment industry.",,,,,
Category B,Cat B,018f2ffd-d637-767b-9bf0-7ad6a00f99d2,Business Term,,,,,,,,,"In the context of media and entertainment, ""Category B"" refers to a classification system used in television broadcasting to categorize and regulate specialty channels in Canada. Category B channels are designated as specialty services that do not have guaranteed carriage on basic cable or satellite packages, giving them a lower level of distribution compared to Category A channels. The Canadian Radio-television and Telecommunications Commission (CRTC), the regulatory body overseeing broadcasting in Canada, classifies television channels into different categories based on their programming content, format, and distribution requirements. Category B channels are considered to be more niche or specialized in their programming focus and may not have the same level of distribution as Category A channels. Category B channels have more flexibility in terms of their programming content and format compared to Category A channels. They are still subject to regulatory requirements, such as Canadian content quotas, financial contributions to Canadian programming, and other obligations to support the production and promotion of Canadian content. While Category B channels may not have guaranteed carriage on basic cable or satellite packages, they play an important role in offering specialized content to viewers and contributing to the diversity of programming available on television. The Category B classification system helps to regulate and promote a range of specialty channels in Canada, providing viewers with a variety of programming options in the media and entertainment industry.",,,,,
Category C,Cat C,018f2ffe-18ab-71c0-a4ed-715a2d18bb2e,Business Term,,,,,,,,,"In the context of media and entertainment, ""Category C"" does not have a specific or widely recognized meaning or classification within the broadcasting industry or regulatory frameworks. The categorization of television channels into Category A, Category B, and Category C is a system specific to the Canadian broadcasting landscape, where channels are classified based on their programming content, format, and distribution requirements. Category C covers news and sports which are open to competition and not subject to genre protection.",,,,,
Cable Television,CATV,3424281b-e3d6-4c7b-b5c9-52367bf10b33,Business Term,,,,,,,,,Cable Television is a form of television programming that is delivered to subscribers through a physical coaxial cable connection.,,,,,
Canadian Audio-Visual Certification Office,CAVCO,018f2ffe-5a13-7879-aed7-589e55ad1c7d,Business Term,,,,,,,,,"Canadian Audio-Visual Certification Office is an organization related to the media and entertainment industry. It focuses on certifying and regulating audio-visual content produced in Canada, ensuring compliance with specific guidelines and standards.",,,,,
Confirmed Appointment With Customer,CAW,75d33e9b-b394-4527-b122-95758755554b,Business Term,,,,,,,,,Confirmed Appointment With Customer.,,,,,
Corporate Billing Account Number,CBAN,96247659-15a5-4f1b-b8cc-9b2d8936e91f,Business Term,,,,,,,,,Corporate Billing Account Number refers to a unique identification number assigned to a corporate billing account within an enterprise. It is a system-generated alphanumeric code that is used to identify and track financial transactions related to the billing activities of a corporate entity.,,,,,
Cell Broadcast Centre,CBC,93b59f9c-c856-4052-b3d3-f8b103683bdb,Business Term,,,,,,,,,Cell Broadcast Centre is a centralized system in telecommunications that allows for the dissemination of text messages to multiple mobile devices within a specific geographical area.,,,,,
Cell Broadcast Entity,CBE,fefc11cc-8889-4809-ba02-ea4074d3e606,Business Term,,,,,,,,,Cell Broadcast Entity refers to a component within the telecommunications industry that manages and controls the distribution of cell broadcast messages.,,,,,
Commitment Based Management,CBM,57c04b55-1e75-41a7-9f4b-482f358fb3c8,Business Term,,,,,,,,,"Commitment Based Management refers to a management approach that prioritizes and emphasizes the fulfillment of commitments and obligations within an organization. It involves setting clear objectives, defining responsibilities, and ensuring that individuals or teams are fully committed to delivering on their promises and meeting their targets.",,,,,
Can Be Reached,CBR,4482e394-1d01-4196-be4b-fbadb6287d35,Business Term,,,,,,,,,A phone number is on fielded job order.,,,,,
Contention Based Random Access,CBRA,e03900df-9e74-4815-ab6e-dbea3d00a7d3,Business Term,,,,,,,,,"Contention Based Random Access in the context of telecommunications refers to a method used by multiple devices to access a shared communication channel without prior coordination. This approach allows multiple devices to contend for the same channel simultaneously, leading to potential collisions and data loss.",,,,,
Cell Broadcast Service,CBS,19a6e5e2-561b-4e03-ad14-995b91f54825,Business Term,,,,,,,,,Cell Broadcast Service refers to a feature provided by telecommunications networks that allows the broadcast of messages to multiple mobile devices within a specific geographical area.,,,,,
Customer Business Unit Company ID,CBUCID,8a2216dd-7888-4375-bc58-79eb82318358,Business Term,,,,,,,,,High level roll up of all RCID associated with the Business Customer.,,,,,
Coverage Class,CC,6506fd27-e857-47b0-801f-66af3d5e49f6,Business Term,,,,,,,,,"Coverage Class refers to the categorization or classification of insurance policies based on the extent and scope of coverage provided. It helps insurers and policyholders differentiate between different levels of coverage options available within a particular type of insurance. The coverage class determines the specific risks and events that are covered by the policy, as well as any limitations or exclusions.",,,,,
Corporate Citizenship & Communications,CC&C,1daf221d-d04d-4a14-b9ee-95a8d526ba63,Business Term,,,,,,,,,"Corporate Citizenship &amp; Communications in the context of Enterprise refers to the practice of a company fulfilling its social and ethical responsibilities, and effectively communicating these efforts to relevant stakeholders. It involves actively engaging in activities that contribute to the betterment of society and the environment, and establishing transparent and effective lines of communication to share information and maintain relationships with various internal and external parties.",,,,,
Combinatorial Clock Auction,CCA,2f5481ac-f3a7-4893-9379-389151d777bf,Business Term,,,,,,,,,"Combinatorial Clock Auction refers to a specific type of auction format used in the telecommunications industry. In this context, it is a method by which licenses for spectrum bands or telecommunications frequencies are allocated to bidders. This auction format involves simultaneous bidding for multiple licenses and allows participants to submit bids on various combinations of licenses within a designated time frame. The bids are typically structured in the form of package bids, which include a combination of licenses and quantities desired. The auction is conducted electronically, with a clock ticking down until the bidding window closes. At the end of the auction, the licenses are allocated to the winning bidders based on predefined rules and criteria set by the regulatory authority.",,,,,
Contact Centre as a Service,CCaaS,019764ea-dc14-7702-bb72-9def03066d63,Business Term,,,,,,,,,TELUS Digital routing platforms modernization.,,,,,
Clinical Care Coordinator,CCC,5f8359d3-9593-46c0-b4af-a5fc42aa19d0,Business Term,,,,,,,,,Medical office administrative role,,,,,
Common Control Channel,CCCH,5230e4f5-37d7-453b-a0e4-28ad1e2028fb,Business Term,,,,,,,,,"Common Control Channel is a dedicated communication channel within a telecommunications system that is used for signaling and control purposes. It allows for the exchange of information between network elements for the setup, maintenance, and coordination of various telecommunication services.",,,,,
Control Channel Element,CCE,7179b377-30a6-4783-9e30-c2ce101cbeed,Business Term,,,,,,,,,"Control Channel Element refers to a component in telecommunications that is responsible for managing and coordinating the control information within a communication system. It handles the exchange of signaling messages and control instructions between network elements, enabling the establishment, maintenance, and termination of communication sessions. The Control Channel Element ensures the efficient and reliable delivery of control information, facilitating the proper functioning of the overall telecommunications network.",,,,,
China Communication Standards Association,CCSA,a33680d2-78a1-4d79-b234-63f29652ab12,Business Term,,,,,,,,,China Communication Standards Association is an organization related to telecommunications in China that focuses on establishing and maintaining standards for communication technologies and systems.,,,,,
Contract Creation Team,CCT,732fa44e-6b97-4393-b841-1de5291b86ae,Business Term,,,,,,,,,Team name at TELUS.,,,,,
Commission for Complaints for Telecom-Television Services,CCTS,aa82dd7f-d95c-4c0d-ab65-0fac1255fb53,Business Term,,,,,,,,,Canada’s national and independent organization dedicated to resolving customer complaints about telecommunications and television services.,,,,,
Coût d’acquisition,CDA,8dec0187-120c-4d84-b6aa-aa5cf95a8823,Business Term,,,,,,,,,"Coûts nécessaires pour gagner un nouvel abonné. Ces coûts comprennent le marketing, les offres promotionnelles, les rabais sur les appareils et les commissions versées aux détaillants.",,,,,
Critical Data Element,CDE,d39f0b2d-6b16-42f7-901d-2608f89f1731,Business Term,,,,,,,,,"Critical Data Element is considered all data across the enterprise that supports and sustains key business processes and procedures. Examples include: protected personal information, external/internal financial reporting, regulatory reporting, part of master data, part of reference data, part of decision making process.",,,,,
Charging Data Function,CDF,35b3c256-000c-4683-8e4a-99fda35754f4,Business Term,,,,,,,,,Charging Data Function refers to a component in telecommunications systems that is responsible for collecting and processing data related to charging and billing for various services and resources used by customers.,,,,,
Customer Data Integration,CDI,019934bb-62dc-7a79-a0c9-44f9f7c90ea2,Business Term,,,,,,,,,"Solutions for capturing and maintaining accurate, up-to-date data about individual customers and delivering customer information in an actionable form at customer touch points.",,,,,
Code Division Multiple Access,CDMA,55897150-281c-4862-8845-3a0742c229c1,Business Term,,,,,,,,,"A spread spectrum air interface protocol that uses radio frequencies to provide mobile telecom services, including interoperability with the wireline PSTN (public switched telephone network). A so-called ""second generation"" (2G) service, CDMA was developed in the U.S. by Qualcomm and, with TDMA and GSM TDMA, is one of three main protocol implementations used in delivering PCS mobile voice services. Source: CRTC Telecommunications Glossary",,,,,
Certified Data Management Professional,CDMP,019934bb-62dc-7a79-a0c9-44f9f7c90e8f,Business Term,,,,,,,,,"A professional designation offered by DAMA International, using examinations developed and delivered by the Institute for Certification of Computing Professionals.",,,,,
Content Delivery Network,CDN,ba4df132-f6bb-43af-99b9-4c56c24fa543,Business Term,,,,,,,,,"Content Delivery Network, in the context of Telecommunications, refers to a system of servers and networks that efficiently distribute web content to end users. These networks are strategically located in various geographic locations to reduce latency and ensure fast and reliable delivery of content, such as images, videos, documents, and web pages.",,,,,
Chief Development Office,CDO,91daf041-9fb3-458a-b2ef-92ef846a40cd,Business Term,,,,,,,,,Business unit name.,,,,,
Call Detail Record,CDR,5c7350da-90d6-4e1b-abd0-cd9a584212bf,Business Term,,,,,,,,,"A call detail record is a data record produced by a telephone exchange or other telecommunications equipment that documents the details of a telephone call or other telecommunications transaction (e.g., text message) that passes through that facility or device. The record contains various attributes of the call, such as time, duration, completion status, source number, and destination number",,,,,
Coverage Enhancement,CE,1c1d8d61-c376-4258-92c5-1dd069f3896c,Business Term,,,,,,,,,Coverage Enhancement refers to the improvement or expansion of network coverage in the field of telecommunications.,,,,,
Customer Experience Blueprint,CEB,0197654f-e4cd-7809-8a23-9bee46819dbd,Business Term,,,,,,,,,"A customer experience blueprint is a comprehensive framework that defines the optimal customer interaction journey, detailing step-by-step processes, key touchpoints, and expected outcomes for customer service calls. It serves as a standardized coaching and training tool that provides team-specific variations while maintaining consistent service quality standards across the organization.",,,,,
Customer Experience Leadership Team,CELT,ea2c9a07-f674-4973-b13d-8e639d59771e,Business Term,,,,,,,,,"Customer Experience Leadership Team refers to a group within an enterprise that is responsible for overseeing and guiding the strategic direction and implementation of customer experience initiatives. This team is composed of individuals who possess expertise in various aspects of customer experience, including research, analysis, design, and implementation. They work collaboratively to develop and execute strategies that enhance customer satisfaction, loyalty, and overall experience across various touchpoints and interactions. The team plays a critical role in driving a customer-centric culture within the enterprise and ensuring that customer needs and expectations are consistently met.",,,,,
Customer Experience Operations Enablement,CEOE,ec41855b-63ef-4186-abc6-612a4667c0b9,Business Term,,,,,,,,,"Customer Experience Operations Enablement refers to the process of providing the necessary tools, resources, and support to enable smooth and efficient operations within customer service activities. It involves ensuring that customer service representatives have access to the right technology, training, and information to effectively address customer inquiries and resolve issues. By enabling effective operations, customer experience is enhanced, leading to improved customer satisfaction and retention.",,,,,
Competitive Enhancement Program,CEP,1c7f6635-cb66-4cf7-a51e-42eb28f575aa,Business Term,,,,,,,,,"Competitive Enhancement Program in the context of telecommunications is a structured initiative aimed at improving the competitive position of a telecommunications company. It involves strategic measures and activities implemented to enhance the company's offerings, operations, and market presence.",,,,,
Corporate Exclusive Partner Program,CEPP,2fbcb475-1a5c-4ad2-9728-069e5cb50ed6,Business Term,,,,,,,,,"Corporate Exclusive Partner Program is a marketing and sales initiative that involves establishing a specific program for select corporate partners. It aims to create a mutually beneficial relationship between the company and its chosen partners, providing them with exclusive privileges and advantages. This program is designed to enhance collaboration, generate sales, and strengthen brand positioning within the corporate sector.",,,,,
Customer Effort Reduction,CER,d923e32e-5a77-48e5-8bf6-0dbf2c637ac6,Business Term,,,,,,,,,Customer Effort Reduction is the act of minimizing the effort required by customers during their interactions with a company's marketing and sales processes.,,,,,
Carrier Ethernet Switched,CES,1cb87868-abfd-484c-9512-9b0233c1d694,Business Term,,,,,,,,,"Carrier Ethernet Switched refers to a telecommunications technology that allows for the efficient and reliable transfer of data over a switched Ethernet network. It involves the use of Ethernet switches to connect multiple devices and enable the delivery of Carrier Ethernet services. The switching functionality within this technology ensures that data packets are forwarded to their intended destinations, optimizing network performance and facilitating seamless communication.",,,,,
Contention Free Random Access,CFRA,d1bfbab6-14b9-4465-a973-c6012e882446,Business Term,,,,,,,,,"Contention Free Random Access in the context of Telecommunications refers to a method of accessing a communication channel without any competition or conflict between multiple users. This approach enables devices or users to gain immediate and uninterrupted access to the channel, without the need for contention or contention resolution mechanisms.",,,,,
Connection Fee Waived,CFW,022a34cb-a881-44fe-bc56-a6dc4b2c0850,Business Term,,,,,,,,,Connection Fee Waived refers to the practice of not charging customers for the initial cost associated with establishing a connection or subscription to a product or service.,,,,,
Charging Gateway Function,CGF,b12cd2a0-45aa-4504-b26e-22604044916d,Business Term,,,,,,,,,"Charging Gateway Function in the context of Telecommunications refers to a mechanism or component that is responsible for managing and processing charging-related information and actions within a telecommunications network. It facilitates the interaction between various network elements and the charging systems, ensuring the accurate recording and billing of services for users.",,,,,
Charging Function,CHF,2a679477-fbbf-4194-a2d4-c9ee6ae7611e,Business Term,,,,,,,,,"Charging Function refers to the process or mechanism by which a device, system, or equipment is supplied with electrical energy to recharge its battery or power source. It involves the transfer of electric current from a power source to the device, allowing it to restore its battery's energy level.",,,,,
Collaborative Health Record,CHR,3e8c70e0-80dd-4ac6-9aa5-e8a11d714a9e,Business Term,,,,,,,,,"Collaborative Health Record refers to a comprehensive and shared electronic record system that contains all relevant health information of a patient. This record is accessible to healthcare professionals involved in the care of the patient, enabling them to contribute, review, and update medical data in real time.",,,,,
Converged Interconnect,CI,239be98f-ad78-47a3-8154-ceb0f7046d11,Business Term,,,,,,,,,Internet peering. Amethod that allows two networks to connect and exchange traffic directly without having to pay a third party to carry traffic across the Internet.,,,,,
Continuous Integration and Continuous Deploymen,CI/CD,0191326d-a304-75f6-96db-c273ec629fd8,Business Term,,,,,,,,,,,,,,
Customer Identifier,CID,448c5ce1-734f-401b-8ec7-860f859b5691,Business Term,,,,,,,,,"Customer Identifier refers to a unique piece of information used to distinguish and identify individual customers within a customer service system. It is a specific code or number assigned to each customer, allowing businesses to accurately identify and track their interactions, preferences, and details.",,,,,
Calgary Internet Data Centre,CIDC,6a1b3a77-01a6-471c-a458-8ef47cbac400,Business Term,,,,,,,,,"Calgary Internet Data Centre refers to a facility located in Calgary that is specifically designed to house and manage internet infrastructure and servers for businesses. It provides a secure and reliable environment for storing, processing, and distributing data over the internet.",,,,,
Chinese In-Language,CIL,4ba7c91d-af8b-4e96-bbff-09143e122178,Business Term,,,,,,,,,"Chinese In-Language refers to content or communication that is created and delivered in the Chinese language, specifically targeting Chinese-speaking audiences. It is a term used in the context of general language and communication strategies to emphasize the importance of using the Chinese language to effectively connect with and engage Chinese-speaking individuals.",,,,,
Cellular IoT,CIoT,74b4c5b8-ea36-4c83-bc41-9a1121cb5a2a,Business Term,,,,,,,,,"Cellular IoT refers to the implementation of Internet of Things (IoT) devices and solutions using cellular networks. Instead of relying on traditional Wi-Fi or wired connections, Cellular IoT utilizes cellular technologies such as 2G, 3G, 4G, or 5G to enable communication between various IoT devices. This allows for widespread connectivity, remote management, and real-time data transmission without relying on local infrastructure.",,,,,
